year,author,method,reporting raw,reportScore,reportingOT,reportGrade,methods raw,methodsScore,methodsOT,methodsGrade
2005,Bagnardi V,"CCO,CTC",1,0,,,1,100,,
2005,Bilker WB,CCO,1,100,,,1,100,,
2005,Bonneh DY,CCO,1,100,,,1,100,,
2005,Brensinger CM,CCO,1,100,,,1,100,,
2005,Cohen AD,CCO,1,100,,,1,100,,
2005,Corrao G,"CCO,CTC",1,100,,,1,100,,
2005,Faini S,"CCO,CTC",1,100,,,1,100,,
2005,Glasser DB,CCO,1,100,,,1,100,,
2005,Halevy S,CCO,1,100,,,1,100,,
2005,Leoni O,"CCO,CTC",1,100,,,1,100,,
2005,Lewis JD,CCO,1,100,,,1,100,,
2005,Lichtenstein GR,CCO,1,100,,,1,100,,
2005,Maclure M,CCO,1,100,,,1,100,,
2005,Mittleman MA,CCO,1,100,,,1,100,,
2005,Naggan L,CCO,1,100,,,1,100,,
2005,Reuveni H,CCO,1,100,,,1,100,,
2005,Suissa S,"CCO,CTC",1,100,,,1,100,,
2005,Vardy DA,CCO,1,100,,,1,100,,
2005,Zambon A,"CCO,CTC",1,100,,,1,100,,
2006,Abildstrom SZ,CCO,0,0,,,1,100,,
2006,Belongia EA,CCO,1,100,,,1,100,,
2006,Biskupiak JE,CCO,1,100,,,1,100,,
2006,Black SB,CCO,1,100,,,1,100,,
2006,Brixner DI,CCO,1,100,,,1,100,,
2006,Buch P,CCO,1,100,,,1,100,,
2006,Chaisson CE,CCO,1,100,,,0.5,50,,
2006,Chen Robert T,CCO,1,100,,,1,100,,
2006,Davis RL,CCO,1,100,,,1,100,,
2006,France EK,CCO,1,100,,,1,100,,
2006,Friberg J,CCO,1,100,,,1,100,,
2006,Gislason GH,CCO,1,100,,,1,100,,
2006,Glanz JM,CCO,1,100,,,1,100,,
2006,Hambidge SJ,CCO,1,100,,,1,100,,
2006,Howard K,CCO,1,100,,,1,100,,
2006,Hunter DJ,CCO,1,100,,,0.5,50,,
2006,Jackson LA,CCO,1,100,,,1,100,,
2006,Jacobsen SJ,CCO,1,100,,,1,100,,
2006,Kober L,CCO,1,100,,,1,100,,
2006,Lewis EM,CCO,1,100,,,1,100,,
2006,Madsen M,CCO,1,100,,,1,100,,
2006,Marcy SM,CCO,1,100,,,1,100,,
2006,McClure D,CCO,1,100,,,1,100,,
2006,Mullooly JP,CCO,1,100,,,1,100,,
2006,Niu J,CCO,1,100,,,0.5,50,,
2006,Nordin JD,CCO,1,100,,,1,100,,
2006,Oderda GM,CCO,1,100,,,1,100,,
2006,Rasmussen JN,CCO,1,100,,,1,100,,
2006,Rasmussen S,CCO,1,100,,,1,100,,
2006,Schramm TK,CCO,1,100,,,1,100,,
2006,Shay DK,CCO,1,100,,,1,100,,
2006,Shinefield HR,CCO,1,100,,,1,100,,
2006,Torp-Pedersen C,CCO,1,100,,,1,100,,
2006,Woods R,CCO,1,100,,,0.5,50,,
2006,Xu Stan,CCO,1,100,,,1,100,,
2006,Yamasaki K,CCO,1,100,,,1,100,,
2006,York M,CCO,1,100,,,0.5,50,,
2006,Zangwill KM,CCO,1,100,,,1,100,,
2006,Zhang Yuqing,CCO,1,100,,,0.5,50,,
2007,Blanchette V,CCO,1,100,,,1,100,,
2007,Christensen J,CTC,1,100,,,1,100,,
2007,Czeizel AE,CTC,1,100,,,1,100,,
2007,Egberts TCG,CCO,1,100,,,1,100,,
2007,Finkelstein Y,CCO,1,100,,,1,100,,
2007,Garcia-Bournissen F,CCO,1,100,,,1,100,,
2007,Hallas J,CCO,1,100,,,1,100,,
2007,Handoko KB,CCO,1,100,,,1,100,,
2007,Hermens WAJJ,CCO,1,100,,,1,100,,
2007,Horvath-Puho E,CTC,1,100,,,1,100,,
2007,Juurlink DN,CCO,1,100,,,1,100,,
2007,Kirby M,CCO,1,100,,,1,100,,
2007,Kjaer D,CTC,1,100,,,1,100,,
2007,Koren G,CCO,1,100,,,1,100,,
2007,Lassen AT,CCO,1,100,,,1,100,,
2007,Nurmohamed L,CCO,1,100,,,1,100,,
2007,Obel N,CCO,1,100,,,1,100,,
2007,Olsen J,CTC,1,100,,,1,100,,
2007,Schechter T,CCO,1,100,,,1,100,,
2007,Sode J,CCO,1,100,,,1,100,,
2007,Sorensen HT,CTC,1,100,,,1,100,,
2007,Souverein PC,CCO,1,100,,,1,100,,
2007,Vestergaard M,CTC,1,100,,,1,100,,
2007,Zwart-van Rijkom JEF,CCO,1,100,,,1,100,,
2008, Agard C,CCO,0,0,,,1,100,,
2008,Alarcón GS,CCO,1,0,,,0.5,50,,
2008,Andersen M,CCO,1,0,,,1,100,,
2008,Azoulay L,CCO,1,100,,,1,100,,
2008,Berard A,CCO,1,100,,,1,100,,
2008,Berezné A,CCO,1,0,,,1,100,,
2008,Bilker WB,CCO,1,100,,,1,100,,
2008,Bjerrum L,CCO,1,100,,,1,100,,
2008,Blais L,CCO,1,100,,,1,100,,
2008,Brensinger CM,CCO,1,100,,,1,100,,
2008,Cabane J,CCO,1,100,,,1,100,,
2008,Chen Pau-Chung,CCO,1,100,,,1,100,,
2008,Coste J,CCO,1,100,,,0.5,50,,
2008,Curcin V,CCO,1,100,,,0.5,50,,
2008,Durán-Barragán S,CCO,1,100,,,0.5,50,,
2008,Frances C,CCO,1,100,,,1,100,,
2008,Gross WL,CCO,1,100,,,0.5,50,,
2008,Guillevin L,CCO,1,100,,,0.5,50,,
2008,Guillevin L,CCO,1,100,,,1,100,,
2008,Hallas J,CCO,1,100,,,1,100,,
2008,Han X,CCO,1,100,,,1,100,,
2008,Hauser T,CCO,1,100,,,0.5,50,,
2008,Hellmich B,CCO,1,100,,,0.5,50,,
2008,Hennessy S,CCO,1,100,,,1,100,,
2008,Kimmel SE,CCO,1,100,,,1,100,,
2008,Koren G,CCO,1,100,,,1,100,,
2008,Lee Chang-Hsing,CCO,1,100,,,1,100,,
2008,LeLorier J,CCO,1,100,,,1,100,,
2008,Mahr A,CCO,1,100,,,0.5,50,,
2008,Mahr A,CCO,1,100,,,1,100,,
2008,Majeed A,CCO,1,100,,,0.5,50,,
2008,McGwin Jr G,CCO,1,100,,,0.5,50,,
2008,McKeigue P,CCO,1,100,,,0.5,50,,
2008,Mehrenberger M,CCO,1,100,,,1,100,,
2008,Metzler C,CCO,1,100,,,0.5,50,,
2008,Molokhia M,CCO,1,100,,,0.5,50,,
2008,Mouthon L,CCO,1,100,,,1,100,,
2008,Noël LH,CCO,1,100,,,1,100,,
2008,Reveille JD,CCO,1,100,,,0.5,50,,
2008,Schelleman H,CCO,1,100,,,1,100,,
2008,Sommerstein R,CCO,1,100,,,0.5,50,,
2008,Stovring H,CCO,1,100,,,1,100,,
2008,Teixeira L,CCO,1,100,,,1,100,,
2008,Trolliet P,CCO,1,100,,,1,100,,
2008,Vila LM,CCO,1,100,,,0.5,50,,
2008,Wang Jung-Der,CCO,1,100,,,1,100,,
2009,Abildstrom SZ,CCO,0,0,,,1,100,,
2009,Abildstrom SZ,CCO,0,0,,,0.5,50,,
2009,Andersen SS,CCO,1,0,,,0.5,50,,
2009,Britton J,CCO,1,100,,,1,100,,
2009,Brotman RM,CCO,1,100,,,1,100,,
2009,Buch P,CCO,1,100,,,1,100,,
2009,Contiero P,"CCO,CTC",1,100,,,1,100,,
2009,Corrao G,"CCO,CTC",1,100,,,1,100,,
2009,Dall M,CCO,1,100,,,0.5,50,,
2009,Erbelding EJ,CCO,1,100,,,1,100,,
2009,Fogarty AW,CCO,1,100,,,1,100,,
2009,Folke F,CCO,1,100,,,1,100,,
2009,Folke F,CCO,1,100,,,0.5,50,,
2009,Fosbol EL,CCO,1,100,,,1,100,,
2009,Fosbol EL,CCO,1,100,,,0.5,50,,
2009,Friz HP,"CCO,CTC",1,100,,,1,100,,
2009,Gadsbøll N,CCO,1,100,,,1,100,,
2009,Gibson JE,CCO,1,100,,,1,100,,
2009,Gill SS,CTC,0.5,50,,,0.5,50,,
2009,Gindi RM,CCO,1,100,,,1,100,,
2009,Gislason GH,CCO,1,100,,,1,100,,
2009,Gislason GH,CCO,1,100,,,0.5,50,,
2009,Hallas J,CCO,1,100,,,0.5,50,,
2009,Hansen JM,CCO,1,100,,,0.5,50,,
2009,Hansen ML,CCO,1,100,,,1,100,,
2009,Hansen ML,CCO,1,100,,,0.5,50,,
2009,Hubbard R,CCO,1,100,,,1,100,,
2009,Juurlink DN,CTC,0.5,50,,,0.5,50,,
2009,Kober L,CCO,1,100,,,1,100,,
2009,Kober L,CCO,1,100,,,0.5,50,,
2009,Lassen AT,CCO,1,100,,,0.5,50,,
2009,Laupacis A,CTC,0.5,50,,,0.5,50,,
2009,Li P,CTC,0.5,50,,,0.5,50,,
2009,Madsen M,CCO,1,100,,,1,100,,
2009,Madsen M,CCO,1,100,,,0.5,50,,
2009,Mamdani M,CTC,0.5,50,,,0.5,50,,
2009,Park-Wyllie Ly,CTC,0.5,50,,,0.5,50,,
2009,Poulsen HE,CCO,1,100,,,1,100,,
2009,Rasmussen JN,CCO,1,100,,,1,100,,
2009,Rasmussen S,CCO,1,100,,,1,100,,
2009,Rifkin SB,CCO,1,100,,,1,100,,
2009,Schaffalitzky de Muckadell OB,CCO,1,100,,,0.5,50,,
2009,Schramm TK,CCO,1,100,,,1,100,,
2009,Schramm TK,CCO,1,100,,,0.5,50,,
2009,Smith C,CCO,1,100,,,1,100,,
2009,Smith MR,CCO,1,100,,,1,100,,
2009,Sorensen R,CCO,1,100,,,1,100,,
2009,Tata LJ,CCO,1,100,,,1,100,,
2009,Torp-Pedersen C,CCO,1,100,,,1,100,,
2009,Torp-Pedersen C,CCO,1,100,,,0.5,50,,
2009,Zambon A,"CCO,CTC",1,100,,,1,100,,
2010,Abenhaim L,CCO,0,0,,,1,100,,
2010,Abildstrom SZ,CCO,0,0,,,0.5,50,,
2010,Amorim EL,CCO,1,100,,,1,100,,
2010,Andersen SS,CCO,1,0,,,1,100,,
2010,Autret-Leca E,CCO,1,0,,,1,100,,
2010,Avorn J,CCO,1,0,,,1,100,,
2010,Bilker WB,CCO,1,100,,,1,100,,
2010,Brensinger CM,CCO,1,100,,,1,100,,
2010,Cardoso FL,CCO,1,100,,,1,100,,
2010,Chang Chia-Hsuin,CCO,1,100,,,1,100,,
2010,Chen Pau-Chung,CCO,1,100,,,1,100,,
2010,Chen Shu-Ting,CCO,1,100,,,1,100,,
2010,Cleinman IB,CCO,1,100,,,1,100,,
2010,Contrand B,CCO,1,100,,,1,100,,
2010,David B,CCO,1,100,,,1,100,,
2010,Delorme B,CCO,1,100,,,1,100,,
2010,Egawa T,CCO,1,100,,,1,100,,
2010,Erdal J,CCO,1,100,,,0.5,50,,
2010,Ferraiuoli GI,CCO,1,100,,,1,100,,
2010,Figueiredo AM,CCO,1,100,,,1,100,,
2010,Folke F,CCO,1,100,,,1,100,,
2010,Fosbol EL,CCO,1,100,,,1,100,,
2010,Fosbol EL,CCO,1,100,,,0.5,50,,
2010,Freitas A,CCO,1,100,,,1,100,,
2010,Gadegbeku B,CCO,1,100,,,1,100,,
2010,Gagne JJ,CCO,1,100,,,1,100,,
2010,Giraudeau B,CCO,1,100,,,1,100,,
2010,Gislason GH,CCO,1,100,,,1,100,,
2010,Gislason GH,CCO,1,100,,,0.5,50,,
2010,Grimaldi-Bensouda L,CCO,1,100,,,1,100,,
2010,Hansen PR,CCO,1,100,,,0.5,50,,
2010,Hennessy S,CCO,1,100,,,1,100,,
2010,Hirakawa M,CCO,1,100,,,1,100,,
2010,Imakyure O,CCO,1,100,,,1,100,,
2010,Jacobsen SJ,CCO,1,100,,,1,100,,
2010,Jiang Y,CCO,1,100,,,1,100,,
2010,Jonville-Bera AP,CCO,1,100,,,1,100,,
2010,Kataoka Y,CCO,1,100,,,1,100,,
2010,Kober L,CCO,1,100,,,1,100,,
2010,Kuo Chuei-Wen,CCO,1,100,,,1,100,,
2010,Lagarde E,CCO,1,100,,,1,100,,
2010,Lai Mei-Shu,CCO,1,100,,,1,100,,
2010,Laumon B,CCO,1,100,,,1,100,,
2010,Lee Chang-Hsing,CCO,1,100,,,1,100,,
2010,Leufkens HG,CCO,1,100,,,1,100,,
2010,Magalhaes AC,CCO,1,100,,,1,100,,
2010,Martins IS,CCO,1,100,,,1,100,,
2010,Mascarenhas LA,CCO,1,100,,,1,100,,
2010,Matsumoto J,CCO,1,100,,,1,100,,
2010,Michaud L,CCO,1,100,,,1,100,,
2010,Moreira BM,CCO,1,100,,,1,100,,
2010,Mouterde O,CCO,1,100,,,1,100,,
2010,Nouer SA,CCO,1,100,,,1,100,,
2010,Olesen JB,CCO,1,100,,,0.5,50,,
2010,Oliveira S,CCO,1,100,,,1,100,,
2010,Orriols L,CCO,1,100,,,1,100,,
2010,Pellegrino FL,CCO,1,100,,,1,100,,
2010,Poulsen HE,CCO,1,100,,,1,100,,
2010,Poulsen HE,CCO,1,100,,,0.5,50,,
2010,Rasmussen JN,CCO,1,100,,,1,100,,
2010,Rasmussen S,CCO,1,100,,,1,100,,
2010,Salmi LR,CCO,1,100,,,1,100,,
2010,Santos Mda,CCO,1,100,,,1,100,,
2010,Schelleman H,CCO,1,100,,,1,100,,
2010,Schneeweiss S,CCO,1,100,,,1,100,,
2010,Schramm TK,CCO,1,100,,,1,100,,
2010,Schweizer RC,CCO,1,100,,,1,100,,
2010,Shau Wen-Yi,CCO,1,100,,,1,100,,
2010,Shrank WH,CCO,1,100,,,1,100,,
2010,Shuto H,CCO,1,100,,,1,100,,
2010,Sorensen R,CCO,1,100,,,1,100,,
2010,Souverein PC,CCO,1,100,,,1,100,,
2010,Torp-Pedersen C,CCO,1,100,,,1,100,,
2010,Tricotel A,CCO,1,100,,,1,100,,
2010,van Solinge WW,CCO,1,100,,,1,100,,
2010,Vasques MR,CCO,1,100,,,1,100,,
2010,Velthove KJ,CCO,1,100,,,1,100,,
2010,Wan F,CCO,1,100,,,1,100,,
2010,Wang Jung-Der,CCO,1,100,,,1,100,,
2010,Weeke P,CCO,1,100,,,0.5,50,,
2010,Yanagawa T,CCO,1,100,,,1,100,,
2011,Anderka M,"CCO,CTC",1,100,,,1,100,,
2011,Azoulay L,CCO,1,100,,,1,100,,
2011,Belozeroff V,CCO,1,0,,,0.5,50,,
2011,Berard A,CCO,1,100,,,1,100,,
2011,Berry SD,CCO,1,100,,,0.5,50,,
2011,Castot A,CCO,1,100,,,1,100,,
2011,Chang Chia-Hsuin,CCO,1,100,,,1,100,,
2011,Chang Chia-Hsuin,CCO,1,100,,,1,100,,
2011,Chang Yoosoo,CCO,1,100,,,0.5,50,,
2011,Chang Yoosoo,CCO,1,100,,,1,100,,
2011,Chen Hsi-Chieh,CCO,1,100,,,1,100,,
2011,Chen Hsi-Chieh,CCO,1,100,,,1,100,,
2011,Chen Pau-Chung,CCO,1,100,,,1,100,,
2011,Chen Pau-Chung,CCO,1,100,,,1,100,,
2011,Cheng Yu-Cheng,CCO,1,100,,,0.5,50,,
2011,Choi Nam-Kyong,CCO,1,100,,,0.5,50,,
2011,Choi Nam-Kyong,CCO,1,100,,,1,100,,
2011,Choi Yu-Kyong,CCO,1,100,,,1,100,,
2011,Christakis DA,CCO,1,100,,,0.5,50,,
2011,Danese MD,CCO,1,100,,,0.5,50,,
2011,de Jong-van den Berg LTW,"CCO,CTC",1,100,,,1,100,,
2011,Delorme B,CCO,1,100,,,1,100,,
2011,Dippel DWJ,"CCO,CTC",1,100,,,0.5,50,,
2011,Duke J,CCO,1,100,,,1,100,,
2011,Firouzian A,"CCO,CTC",1,100,,,0.5,50,,
2011,Gadegbeku B,CCO,1,100,,,1,100,,
2011,Garrison MM,CCO,1,100,,,0.5,50,,
2011,Gau Susan Shur-Fen,CCO,1,100,,,0.5,50,,
2011,Gomes T,CCO,1,100,,,1,100,,
2011,Goodman WG,CCO,1,100,,,0.5,50,,
2011,Herings RMC,"CCO,CTC",1,100,,,0.5,50,,
2011,Hernandez-Diaz S,"CCO,CTC",1,100,,,1,100,,
2011,Hildebrand J,CCO,1,100,,,1,100,,
2011,Horn JR,CCO,1,100,,,1,100,,
2011,Jung Sun-Young,CCO,1,100,,,0.5,50,,
2011,Jung Sun-Young,CCO,1,100,,,1,100,,
2011,Juurlink DN,CCO,1,100,,,1,100,,
2011,Kilpatrick RD,CCO,1,100,,,0.5,50,,
2011,Kim Ju-Young,CCO,1,100,,,0.5,50,,
2011,Kim Ju-Young,CCO,1,100,,,1,100,,
2011,Kuo Chuei-Wen,CCO,1,100,,,1,100,,
2011,Kuo Chuei-Wen,CCO,1,100,,,1,100,,
2011,Lagarde E,CCO,1,100,,,1,100,,
2011,Lai Jung-Nien,CCO,1,100,,,1,100,,
2011,Lai Mei-Shu,CCO,1,100,,,1,100,,
2011,Lai Mei-Shu,CCO,1,100,,,1,100,,
2011,Lee AH,CCO,1,100,,,1,100,,
2011,Lee Chang-Hsing,CCO,1,100,,,1,100,,
2011,Lee Chang-Hsing,CCO,1,100,,,1,100,,
2011,Lee Jin-Ho,CCO,1,100,,,1,100,,
2011,Lee Joongyub,CCO,1,100,,,0.5,50,,
2011,Lee Joongyub,CCO,1,100,,,1,100,,
2011,Lin Jou-Wei,CCO,1,100,,,1,100,,
2011,Lin Jou-Wei,CCO,1,100,,,1,100,,
2011,Lipsitz LA,CCO,1,100,,,0.5,50,,
2011,Lozano P,CCO,1,100,,,0.5,50,,
2011,Mallaret M,CCO,1,100,,,1,100,,
2011,Mamdani M,CCO,1,100,,,1,100,,
2011,Meuleners LB,CCO,1,100,,,1,100,,
2011,Mitchell A,"CCO,CTC",1,100,,,1,100,,
2011,Mittleman MA,CCO,1,100,,,0.5,50,,
2011,Moore N,CCO,1,100,,,1,100,,
2011,Moussally K,CCO,1,100,,,1,100,,
2011,Nakhai-Pour HR,CCO,1,100,,,1,100,,
2011,Ng JQ,CCO,1,100,,,1,100,,
2011,Niessen WJ,"CCO,CTC",1,100,,,0.5,50,,
2011,Orriols L,CCO,1,100,,,1,100,,
2011,Palamara P,CCO,1,100,,,1,100,,
2011,Park Byung-Joo,CCO,1,100,,,0.5,50,,
2011,Park Byung-Joo,CCO,1,100,,,1,100,,
2011,Philip P,CCO,1,100,,,1,100,,
2011,Risselada R,"CCO,CTC",1,100,,,0.5,50,,
2011,Rothman KJ,CCO,1,100,,,0.5,50,,
2011,Shau Wen-Yi,CCO,1,100,,,1,100,,
2011,Shau Wen-Yi,CCO,1,100,,,1,100,,
2011,Smirnakis K,CCO,1,100,,,0.5,50,,
2011,Song HJ,CCO,1,100,,,0.5,50,,
2011,Straatman H,"CCO,CTC",1,100,,,0.5,50,,
2011,Sturkenboom MCM,"CCO,CTC",1,100,,,0.5,50,,
2011,Toh S,"CCO,CTC",1,100,,,1,100,,
2011,van der Lugt A,"CCO,CTC",1,100,,,0.5,50,,
2011,van Kooten F,"CCO,CTC",1,100,,,0.5,50,,
2011,Wang Jung-Der,CCO,1,100,,,1,100,,
2011,Wang Jung-Der,CCO,1,100,,,1,100,,
2011,Wang Sheng-Chang,CCO,1,100,,,0.5,50,,
2011,Wright AJ,CCO,1,100,,,1,100,,
2011,Wu Chi-Shin,CCO,1,100,,,0.5,50,,
2011,Yang Yao-Hsu,CCO,1,100,,,1,100,,
2011,Zhang Yuqing,CCO,1,100,,,0.5,50,,
2012,Andersen PK,CTC,1,0,,,0.5,50,,
2012,Anderson G,CCO,1,0,,,0.5,50,,
2012,Andersson C,CTC,1,0,,,0.5,50,,
2012,Avalos M,CCO,0.5,50,,,0.5,50,,
2012,Baer MR,CCO,1,0,,,1,100,,
2012,Bazin F,CCO,0.5,50,,,0.5,50,,
2012,Bell CM,CCO,1,0,,,0.5,50,,
2012,Berry SD,CCO,1,100,,,0.5,50,,
2012,Blazejewski S,CCO,0.5,50,,,0.5,50,,
2012,Blumberg N,CCO,1,100,,,1,100,,
2012,Bos JH,"CCO,CTC",1,100,,,1,100,,
2012,Buka S,CCTC,1,100,,,1,100,,
2012,Campbell RJ,CCO,1,100,,,0.5,50,,
2012,Chang Chia-Hsuin,CCO,1,100,,,1,100,,
2012,Chang Chia-Hsuin,CCO,1,100,,,1,100,,
2012,Chen Hsi-Chieh,CCO,1,100,,,1,100,,
2012,Chen Hsi-Chieh,CCO,1,100,,,1,100,,
2012,Chen Shu-Ting,CCO,1,100,,,1,100,,
2012,Choi Nam-Kyong,CCO,1,100,,,1,100,,
2012,Chopra V,CCO,1,100,,,1,100,,
2012,Chou Hsu-Wen,CCO,1,100,,,1,100,,
2012,Contrand B,CCO,0.5,50,,,0.5,50,,
2012,Davidoff A,CCO,1,100,,,1,100,,
2012,de Jong-van den Berg LTW,"CCO,CTC",1,100,,,1,100,,
2012,Delorme B,CCO,0.5,50,,,0.5,50,,
2012,Dore DD,CCTC,1,100,,,1,100,,
2012,Durrieu G,CCO,0.5,50,,,0.5,50,,
2012,Flanders SA,CCO,1,100,,,1,100,,
2012,Folke F,CTC,1,100,,,0.5,50,,
2012,Fosbol EL,CTC,1,100,,,0.5,50,,
2012,Gadegbeku B,CCO,0.5,50,,,0.5,50,,
2012,Gerds T,CTC,1,100,,,0.5,50,,
2012,Gill SS,CCO,1,100,,,0.5,50,,
2012,Girodet PO,CCO,0.5,50,,,0.5,50,,
2012,Gislason GH,CTC,1,100,,,0.5,50,,
2012,Goldberg M,CCO,0.5,50,,,0.5,50,,
2012,Goldense D,CCO,1,100,,,0.5,50,,
2012,Gore SD,CCO,1,100,,,1,100,,
2012,Gruneir A,CCO,1,100,,,0.5,50,,
2012,Herrmann N,CCO,1,100,,,0.5,50,,
2012,Jensen A,CTC,1,100,,,0.5,50,,
2012,Kang Dong-Yoon,CCO,1,100,,,1,100,,
2012,Kanters JK,CTC,1,100,,,0.5,50,,
2012,Ke X,CCO,1,100,,,1,100,,
2012,Kiel DP,CCO,1,100,,,0.5,50,,
2012,Kim Ye-Jee,CCO,1,100,,,1,100,,
2012,Kober L,CTC,1,100,,,0.5,50,,
2012,Koopmans PC,"CCO,CTC",1,100,,,1,100,,
2012,Kuo Chuei-Wen,CCO,1,100,,,1,100,,
2012,Lagarde E,CCO,0.5,50,,,0.5,50,,
2012,Lai Mei-Shu,CCO,1,100,,,1,100,,
2012,Lai Mei-Shu,CCO,1,100,,,1,100,,
2012,Lai Mei-Shu,CCO,1,100,,,0.5,50,,
2012,Langa KM,CCO,1,100,,,1,100,,
2012,Larsen JK,CTC,1,100,,,0.5,50,,
2012,Laumon B,CCO,0.5,50,,,0.5,50,,
2012,Lauque D,CCO,0.5,50,,,0.5,50,,
2012,Lecoules N,CCO,0.5,50,,,0.5,50,,
2012,Lee Joongyub,CCO,1,100,,,1,100,,
2012,Lee Yen-Chieh,CCO,1,100,,,1,100,,
2012,Levine DA,CCO,1,100,,,1,100,,
2012,Lin Jou-Wei,CCO,1,100,,,1,100,,
2012,Lin Min-Shung,CCO,1,100,,,1,100,,
2012,Linkletter C,CCTC,1,100,,,1,100,,
2012,Lippert FK,CTC,1,100,,,0.5,50,,
2012,Lipsitz LA,CCO,1,100,,,0.5,50,,
2012,Liu Chia-Lin,CCO,1,100,,,0.5,50,,
2012,Maclure M,CCTC,1,100,,,1,100,,
2012,McNally D,CCO,1,100,,,1,100,,
2012,Mittleman MA,CCO,1,100,,,0.5,50,,
2012,Moore N,CCO,0.5,50,,,0.5,50,,
2012,Mor V,CCTC,1,100,,,1,100,,
2012,Mostofsky E,CCO,1,100,,,0.5,50,,
2012,Newman AM,CCO,1,100,,,0.5,50,,
2012,Nielsen SL,CTC,1,100,,,0.5,50,,
2012,Olesen JB,CTC,1,100,,,0.5,50,,
2012,Orriols L,CCO,0.5,50,,,0.5,50,,
2012,Park Byung-Joo,CCO,1,100,,,1,100,,
2012,Park Soyoung,CCO,1,100,,,1,100,,
2012,Pehrson S,CTC,1,100,,,0.5,50,,
2012,Philip P,CCO,0.5,50,,,0.5,50,,
2012,Poulsen HE,CTC,1,100,,,0.5,50,,
2012,Queinec R,CCO,0.5,50,,,0.5,50,,
2012,Rhee Chui-Woo,CCO,1,100,,,1,100,,
2012,Rochon PA,CCO,1,100,,,0.5,50,,
2012,Rogers MAM,CCO,1,100,,,1,100,,
2012,Sato M,CCO,1,100,,,1,100,,
2012,Seitz DP,CCO,1,100,,,0.5,50,,
2012,Shau Wen-Yi,CCO,1,100,,,1,100,,
2012,Shau Wen-Yi,CCO,1,100,,,0.5,50,,
2012,Smith SW,CCO,1,100,,,1,100,,
2012,Solomon DH,CCO,1,100,,,0.5,50,,
2012,Suissa S,CCO,0.5,50,,,0.5,50,,
